ISIN,StockID,Company,ShortName,BSE Code,NSE Code,Year High,Year Low,Close Price,Market Cap,LTP,Open,High,Low,Day Change,% Change,Volume
INE774D01024,GSTK532720,Mahindra & Mahindra Financial Services,Mah & Mah Finl. Serv,532720,M&MFIN
INE188A01015,GSTK590024,Fertilisers & Chemicals Travancore,Fert & Chem Travan,590024,FACT
INE974X01010,GSTK540762,Tube Investments of India,Tube Investments,540762,TIINDIA
INE660A01013,GSTK590071,Sundaram Finance,Sundaram Finance,590071,SUNDARMFIN
INE180A01020,GSTK500271,Max Financial Services,Max Fin Services,500271,MFSL
INE152A01029,GSTK500411,Thermax,Thermax,500411,THERMAX
INE338I01027,GSTK532892,Motilal Oswal Financial Services,MO Financial,532892,MOTILALOFS
INE628A01036,GSTK512070,UPL,UPL,512070,UPL
INE702C01027,GSTK533758,APL Apollo Tubes,APL Apollo Tubes,533758,APLAPOLLO
INE0LEZ01016,GSTK544397,Ather Energy,Ather Energy,544397,ATHERENERG
INE01EA01019,GSTK544307,Vishal Mega Mart,Vishal Mega Mart,544307,VMM
INE151A01013,GSTK500483,Tata Communications,Tata Communications,500483,TATACOMM
INE09N301011,GSTK542812,Gujarat Fluorochemicals,Gujarat Fluorochem,542812,FLUOROCHEM
INE073K01018,GSTK543300,Sona BLW Precision Forgings,Sona BLW Precision,543300,SONACOMS
INE787D01026,GSTK502355,Balkrishna Industries,Balkrishna Inds.,502355,BALKRISIND
INE878B01027,GSTK517569,KEI Industries,KEI Industries,517569,KEI
INE531E01026,GSTK513599,Hindustan Copper,Hindustan Copper,513599,HINDCOPPER
INE415G01027,GSTK542649,Rail Vikas Nigam,Rail Vikas Nigam,542649,RVNL
INE202B01038,GSTK544597,Piramal Finance Ltd.,Piramal Finance,544597,PIRAMALFIN
INE0BS701011,GSTK544238,Premier Energies,Premier Energies,544238,PREMIERENE
INE466L01038,GSTK542772,360 One Wam,360 One Wam,542772,360ONE
INE171Z01026,GSTK541143,Bharat Dynamics,Bharat Dynamics,541143,BDL
INE206F01022,GSTK539177,Authum Investment & Infrastructure,Authum Invstmnt,539177,AIIL
INE0CZ201020,GSTK544449,Anthem Biosciences,Anthem Biosciences,544449,ANTHEM
INE761H01022,GSTK532827,Page Industries,Page Industries,532827,PAGEIND
INE208C01025,GSTK500003,Aegis Logistics,Aegis Logistics,500003,AEGISLOG
INE159A01016,GSTK500660,GlaxoSmithKline Pharmaceuticals,GSK Pharma,500660,GLAXO
INE356A01018,GSTK526299,Mphasis,Mphasis,526299,MPHASIS
INE233A01035,GSTK500164,Godrej Industries,Godrej Industries,500164,GODREJIND
INE571A01038,GSTK524494,Ipca Laboratories,Ipca Laboratories,524494,IPCALAB
INE195A01028,GSTK509930,Supreme Industries,Supreme Industries,509930,SUPREMEIND
INE226A01021,GSTK500575,Voltas,Voltas,500575,VOLTAS
INE191B01025,GSTK532144,Welspun Corp,Welspun Corp,532144,WELCORP
INE031B01049,GSTK532331,Ajanta Pharma,Ajanta Pharma,532331,AJANTPHARM
INE212H01026,GSTK532683,AIA Engineering,AIA Engineering,532683,AIAENG
INE347G01014,GSTK532522,Petronet LNG,Petronet LNG,532522,PETRONET
INE823G01014,GSTK532644,JK Cement,JK Cement,532644,JKCEMENT
INE603J01030,GSTK523642,PI Industries,PI Industries,523642,PIIND
INE410P01011,GSTK539551,Narayana Hrudayalaya,Narayana Hrudayalaya,539551,NH
INE068V01023,GSTK543245,Gland Pharma,Gland Pharma,543245,GLAND
INE589A01014,GSTK513683,NLC India,NLC India,513683,NLCINDIA
INE511C01022,GSTK524000,Poonawalla Fincorp Limited,Poonawalla Fincorp,524000,POONAWALLA
